,SalePrice,Fireplaces,OverallCond,OverallQual,TotalBsmtSF,CentralAir,PouredConcrete,ConcreteBlock,Deck,TotalSF,Location,BsmtLivArea,Age,FlatLandContour,HighQualKitchen,MultipleFloors,NearRailroad,ZoningHighDensity,ExterScore,Bathrooms,OffSiteFeatures,Pool,FlatRoof,HasGarage,ZoningFloatVillage
0,215000,2,5,6,1080.0,1,0,1,1,2295.0,2,639.0,50,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
1,105000,0,6,5,882.0,1,0,1,1,1508.0,2,612.0,49,1,0,0,0,1,1.853432616936364,1.0,0,0,0,1,0
2,172000,0,6,6,1329.0,1,0,1,1,2252.0,2,923.0,52,1,0,0,0,0,1.853432616936364,1.5,0,0,0,1,0
3,244000,2,5,7,2110.0,1,0,1,0,3175.0,2,1065.0,42,1,1,0,0,0,2.1474775607565886,3.5,0,0,0,1,0
4,189900,1,5,5,928.0,1,1,0,1,2420.0,2,791.0,13,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
5,195500,1,6,6,926.0,1,1,0,1,2206.0,2,602.0,12,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
6,213500,0,5,8,1338.0,1,1,0,0,1954.0,4,616.0,9,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,0
7,191500,0,5,8,1280.0,1,1,0,0,1543.0,4,263.0,18,0,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
8,236500,1,5,8,1595.0,1,1,0,1,2796.0,4,1180.0,15,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,0
9,189000,1,5,7,994.0,1,1,0,1,1804.0,2,0.0,11,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
10,175900,1,5,6,763.0,1,1,0,1,1655.0,2,0.0,17,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
11,185000,0,7,6,1168.0,1,1,0,1,2122.0,2,935.0,18,1,0,0,0,0,2.1771985454282605,3.0,0,0,0,1,0
12,180400,1,5,6,789.0,1,1,0,0,1465.0,2,0.0,12,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
13,171500,1,5,7,1300.0,1,1,0,1,1978.0,2,637.0,20,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
