Id,OverallCond,MSZoning,LotArea,LandContour,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,Bathrooms,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageArea,WoodDeckSF,ScreenPorch,Pool,YrSold,SaleCondition,SalePrice
1,5,RL,8450,Lvl,Inside,Gtl,1Fam,2Story,7,2003,2003,BrkFace,196,Gd,PConc,0,150,856,Y,856,854,3,Gd,0,NA,Attchd,2,548,0,0,1,2008,Normal,208500
2,8,RL,9600,Lvl,FR2,Gtl,1Fam,1Story,6,1976,1976,None,0,TA,CBlock,0,284,1262,Y,1262,0,2,TA,1,TA,Attchd,2,460,298,0,1,2007,Normal,181500
3,5,RL,11250,Lvl,Inside,Gtl,1Fam,2Story,7,2001,2002,BrkFace,162,Gd,PConc,0,434,920,Y,920,866,3,Gd,1,TA,Attchd,2,608,0,0,1,2008,Normal,223500
4,5,RL,9550,Lvl,Corner,Gtl,1Fam,2Story,7,1915,1970,None,0,TA,BrkTil,0,540,756,Y,961,756,1,Gd,1,Gd,Detchd,3,642,0,0,1,2006,Other,140000
5,5,RL,14260,Lvl,FR2,Gtl,1Fam,2Story,8,2000,2000,BrkFace,350,Gd,PConc,0,490,1145,Y,1145,1053,3,Gd,1,TA,Attchd,3,836,192,0,1,2008,Normal,250000
6,5,RL,14115,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1993,1995,None,0,TA,Wood,0,64,796,Y,796,566,2,TA,0,NA,Attchd,2,480,40,0,1,2009,Normal,143000
7,5,RL,10084,Lvl,Inside,Gtl,1Fam,1Story,8,2004,2005,Stone,186,Gd,PConc,0,317,1686,Y,1694,0,2,Gd,1,Gd,Attchd,2,636,255,0,1,2007,Normal,307000
8,6,RL,10382,Lvl,Corner,Gtl,1Fam,2Story,7,1973,1973,Stone,240,TA,CBlock,32,216,1107,Y,1107,983,3,TA,2,TA,Attchd,2,484,235,0,1,2009,Normal,200000
9,5,RM,6120,Lvl,Inside,Gtl,1Fam,1.5Fin,7,1931,1950,None,0,TA,BrkTil,0,952,952,Y,1022,752,2,TA,2,TA,Detchd,2,468,90,0,1,2008,Other,129900
10,6,RL,7420,Lvl,Corner,Gtl,2fmCon,1.5Unf,5,1939,1950,None,0,TA,BrkTil,0,140,991,Y,1077,0,1,TA,2,TA,Attchd,1,205,0,0,1,2008,Normal,118000
11,5,RL,11200,Lvl,Inside,Gtl,1Fam,1Story,5,1965,1965,None,0,TA,CBlock,0,134,1040,Y,1040,0,1,TA,0,NA,Detchd,1,384,0,0,1,2008,Normal,129500
12,5,RL,11924,Lvl,Inside,Gtl,1Fam,2Story,9,2005,2006,Stone,286,Ex,PConc,0,177,1175,Y,1182,1142,3,Other,2,Gd,BuiltIn,3,736,147,0,1,2006,Other,345000
13,6,RL,12968,Lvl,Inside,Gtl,1Fam,1Story,5,1962,1962,None,0,TA,CBlock,0,175,912,Y,912,0,1,TA,0,NA,Detchd,1,352,140,1,1,2008,Normal,144000
14,5,RL,10652,Lvl,Inside,Gtl,1Fam,1Story,7,2006,2007,Stone,306,Gd,PConc,0,1494,1494,Y,1494,0,2,Gd,1,Gd,Attchd,3,840,160,0,1,2007,Other,279500
15,5,RL,10920,Lvl,Corner,Gtl,1Fam,1Story,6,1960,1960,BrkFace,212,TA,CBlock,0,520,1253,Y,1253,0,2,TA,1,Fa,Attchd,1,352,0,0,1,2008,Normal,157000
16,8,RM,6120,Lvl,Corner,Gtl,1Fam,1.5Unf,7,1929,2001,None,0,TA,BrkTil,0,832,832,Y,854,0,1,TA,0,NA,Detchd,2,576,48,0,1,2007,Normal,132000
17,7,RL,11241,Lvl,CulDSac,Gtl,1Fam,1Story,6,1970,1970,BrkFace,180,TA,CBlock,0,426,1004,Y,1004,0,1,TA,1,TA,Attchd,2,480,0,0,1,2010,Normal,149000
18,5,RL,10791,Lvl,Inside,Gtl,Duplex,1Story,4,1967,1967,None,0,TA,Slab,0,0,0,Y,1296,0,2,TA,0,NA,CarPort,2,516,0,0,1,2006,Normal,90000
19,5,RL,13695,Lvl,Inside,Gtl,1Fam,1Story,5,2004,2004,None,0,TA,PConc,0,468,1114,Y,1114,0,2,Gd,0,NA,Detchd,2,576,0,0,1,2008,Normal,159000
20,6,RL,7560,Lvl,Inside,Gtl,1Fam,1Story,5,1958,1965,None,0,TA,CBlock,0,525,1029,Y,1339,0,1,TA,0,NA,Attchd,1,294,0,0,1,2009,Other,139000
21,5,RL,14215,Lvl,Corner,Gtl,1Fam,2Story,8,2005,2006,BrkFace,380,Gd,PConc,0,1158,1158,Y,1158,1218,4,Gd,1,Gd,BuiltIn,3,853,240,0,1,2006,Other,325300
